article,text,notes
intro-1,มาตรา ๑  พระราชบัญญัตินี้เรียกว่า “พระราชบัญญัติให้ใช้ประมวลกฎหมายอาญา พ.ศ. ๒๔๙๙"
intro-2,มาตรา ๒ พระราชบัญญัตินี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศในราชกิจจานุเบกษาเป็นต้นไป
intro-3,มาตรา ๓  ประมวลกฎหมายอาญาท้ายพระราชบัญญัตินี้ให้ใช้บังคับ ตั้งแต่วันที่ ๑ มกราคม พ.ศ. ๒๕๐๐ เป็นต้นไป
intro-4,มาตรา ๔  เมื่อประมวลกฎหมายอาญาได้ใช้บังคับแล้ว ให้ยกเลิกกฎหมายลักษณะอาญา
intro-5,มาตรา ๕ เมื่อประมวลกฎหมายอาญาได้ใช้บังคับแล้ว ในกรณีที่กฎหมายใดได้กำหนดโทษโดยอ้างถึงโทษฐานลหุโทษในกฎหมายลักษณะอาญาไว้ให้ถือว่ากฎหมายนั้นได้อ้างถึงโทษดังต่อไปนี้ ถ้าอ้างถึงโทษชั้น ๑ หมายความว่า ปรับไม่เกินหนึ่งร้อยบาท,ถ้าอ้างถึงโทษชั้น ๒ หมายความว่า ปรับไม่เกินห้าร้อยบาท ถ้าอ้างถึงโทษชั้น ๓ หมายความว่า จำคุกไม่เกินสิบวัน หรือปรับไม่เกินห้าร้อยบาท หรือทั้งจำทั้งปรับ ถ้าอ้างถึงโทษชั้น ๔ หมายความว่า จำคุกไม่เกินหนึ่งเดือน หรือปรับไม่เกินหนึ่งพันบาท หรือทั้งจำทั้งปรับ
intro-6,มาตรา ๖  เมื่อประมวลกฎหมายอาญาได้ใช้บังคับแล้ว ในการจำคุกแทนค่าปรับตามกฎหมายใด ไม่ว่ากฎหมายนั้นจะบัญญัติไว้ประการใด ให้นำประมวลกฎหมายอาญามาใช้บังคับ แต่สำหรับความผิดที่ได้กระทำก่อนวันที่ประมวลกฎหมายอาญาใช้บังคับ มิให้กักขังเกินกว่าหนึ่งปีสำหรับโทษปรับกระทงเดียว และสองปีสำหรับโทษปรับหลายกระทง
intro-7,มาตรา ๗  ในกรณีวิธีการเพื่อความปลอดภัยตามมาตรา ๔๖ แห่งประมวลกฎหมายอาญา ให้นำบทบัญญัติแห่งประมวลกฎหมายวิธีพิจารณาความอาญามาใช้บังคับเสมือนเป็นความผิดอาญา แต่ห้ามมิให้คุมขังชั้นสอบสวนเกินกว่าสี่สิบแปดชั่วโมงนับแต่เวลาที่ผู้ถูกจับมาถึงที่ทำการของพนักงานฝ่ายปกครองหรือตำรวจ แต่มิให้นับเวลาเดินทางตามปกติที่นำตัวผู้ถูกจับมาศาลรวมเข้าในกำหนดเวลาสี่สิบแปดชั่วโมงนั้นด้วย
intro-8,มาตรา ๘  เมื่อประมวลกฎหมายอาญาได้ใช้บังคับแล้ว บทบัญญัติแห่งกฎหมายใดอ้างถึงกฎหมายลักษณะอาญา หรืออ้างถึงบทบัญญัติแห่งกฎหมายลักษณะอาญา ให้ถือว่าบทบัญญัติแห่งกฎหมายนั้นอ้างถึงประมวลกฎหมายอาญา หรือบทบัญญัติแห่งประมวลกฎหมายอาญาในบทมาตราที่มีนัยเช่นเดียวกัน แล้วแต่กรณี
null,null,หมายเหตุ :- เหตุผลในการประกาศใช้พระราชบัญญัติฉบับนี้ คือ กฎหมายลักษณะอาญา ร.ศ. ๑๒๗ ได้ประกาศใช้มานานแล้วและได้มีการแก้ไขเพิ่มเติมอยู่หลายแห่งกระจัดกระจายกันอยู่ จึงเป็นการสมควรที่จะได้ชำระสะสาง และนำเข้ารูปเป็นประมวลกฎหมายอาญาเสียในฉบับเดียวกัน อนึ่ง ปรากฏว่าหลักการบางอย่างและวิธีการลงโทษบางอย่างควรจะได้ปรับปรุงให้สมกับกาลสมัยและแนวนิยมของนานาประเทศ ในสมัยปัจจุบันหลักเดิมบางประการจึงล้าสมัย สมควรจะได้ปรับปรุงเสียให้สอดคล้องกับหลักการปกครองในระบอบประชาธิปไตย
1,มาตรา ๑  ในประมวลกฎหมายนี้ (๑) “โดยทุจริต” หมายความว่า เพื่อแสวงหาประโยชน์ที่มิควรได้โดยชอบด้วยกฎหมายสำหรับตนเองหรือผู้อื่น (๒) “ทางสาธารณะ” หมายความว่า ทางบกหรือทางน้ำสำหรับประชาชนใช้ในการจราจร และให้หมายความรวมถึงทางรถไฟและทางรถรางที่มีรถเดิน สำหรับประชาชนโดยสารด้วย (๓) “สาธารณสถาน” หมายความว่า สถานที่ใด ๆ ซึ่งประชาชนมีความชอบธรรมที่จะเข้าไปได้ (๔) “เคหสถาน” หมายความว่า ที่ซึ่งใช้เป็นที่อยู่อาศัย เช่น เรือน โรง เรือ หรือแพ ซึ่งคนอยู่อาศัย และให้หมายความรวมถึงบริเวณของที่ซึ่งใช้เป็นที่อยู่อาศัยนั้นด้วย จะมีรั้วล้อมหรือไม่ก็ตาม (๕) “อาวุธ” หมายความรวมถึงสิ่งซึ่งไม่เป็นอาวุธโดยสภาพ แต่ซึ่งได้ใช้หรือเจตนาจะใช้ประทุษร้ายร่างกายถึงอันตรายสาหัสอย่างอาวุธ (๖) “ใช้กำลังประทุษร้าย” หมายความว่า ทำการประทุษร้ายแก่กายหรือจิตใจของบุคคล ไม่ว่าจะทำด้วยใช้แรงกายภาพหรือด้วยวิธีอื่นใด และให้หมายความรวมถึงการกระทำใด ๆ ซึ่งเป็นเหตุให้บุคคลหนึ่งบุคคลใดอยู่ในภาวะที่ไม่สามารถขัดขืนได้ ไม่ว่าจะโดยใช้ยาทำให้มึนเมา สะกดจิต หรือใช้วิธีอื่นใดอันคล้ายคลึงกัน (๗) “เอกสาร” หมายความว่า กระดาษหรือวัตถุอื่นใดซึ่งได้ทำให้ปรากฏความหมายด้วยตัวอักษร ตัวเลข ผัง หรือแผนแบบอย่างอื่น จะเป็นโดยวิธีพิมพ์ ถ่ายภาพ หรือวิธีอื่นอันเป็นหลักฐานแห่งความหมายนั้น (๘) “เอกสารราชการ” หมายความว่า เอกสารซึ่งเจ้าพนักงานได้ทำขึ้นหรือรับรองในหน้าที่ และให้หมายความรวมถึงสำเนาเอกสารนั้น ๆ ที่เจ้าพนักงานได้รับรองในหน้าที่ด้วย (๙) “เอกสารสิทธิ” หมายความว่า เอกสารที่เป็นหลักฐานแห่งการก่อ เปลี่ยนแปลง โอน สงวนหรือระงับซึ่งสิทธิ(๑๐) “ลายมือชื่อ” หมายความรวมถึงลายพิมพ์นิ้วมือและเครื่องหมายซึ่งบุคคลลงไว้แทนลายมือชื่อของตน (๑๑) “กลางคืน” หมายความว่า เวลาระหว่างพระอาทิตย์ตกและพระอาทิตย์ขึ้น (๑๒) “คุมขัง” หมายความว่า คุมตัว ควบคุม ขัง กักขังหรือจำคุก (๑๓) “ค่าไถ่” หมายความว่า ทรัพย์สินหรือประโยชน์ที่เรียกเอา หรือให้เพื่อแลกเปลี่ยนเสรีภาพของผู้ถูกเอาตัวไป ผู้ถูกหน่วงเหนี่ยวหรือผู้ถูกกักขัง (๑๔)[๖] “บัตรอิเล็กทรอนิกส์” หมายความว่า (ก) เอกสารหรือวัตถุอื่นใดไม่ว่าจะมีรูปลักษณะใดที่ผู้ออกได้ออกให้แก่ผู้มีสิทธิใช้ ซึ่งจะระบุชื่อหรือไม่ก็ตาม โดยบันทึกข้อมูลหรือรหัสไว้ด้วยการประยุกต์ใช้วิธีการทางอิเล็กตรอน ไฟฟ้า คลื่นแม่เหล็กไฟฟ้า หรือวิธีอื่นใดในลักษณะคล้ายกัน ซึ่งรวมถึงการประยุกต์ใช้วิธีการทางแสงหรือวิธีการทางแม่เหล็กให้ปรากฏความหมายด้วยตัวอักษร ตัวเลข รหัส หมายเลขบัตร หรือสัญลักษณ์อื่นใด ทั้งที่สามารถมองเห็นและมองไม่เห็นด้วยตาเปล่า (ข) ข้อมูล รหัส หมายเลขบัญชี หมายเลขชุดทางอิเล็กทรอนิกส์หรือเครื่องมือทางตัวเลขใด ๆ ที่ผู้ออกได้ออกให้แก่ผู้มีสิทธิใช้ โดยมิได้มีการออกเอกสารหรือวัตถุอื่นใดให้ แต่มีวิธีการใช้ในทำนองเดียวกับ (ก) หรือ (ค) สิ่งอื่นใดที่ใช้ประกอบกับข้อมูลอิเล็กทรอนิกส์เพื่อแสดงความสัมพันธ์ระหว่างบุคคลกับข้อมูลอิเล็กทรอนิกส์ โดยมีวัตถุประสงค์เพื่อระบุตัวบุคคลผู้เป็นเจ้าของ (๑๕)[๗] “หนังสือเดินทาง” หมายความว่า เอกสารสำคัญประจำตัวไม่ว่าจะมีรูปลักษณะใดที่รัฐบาลไทย รัฐบาลต่างประเทศ หรือองค์การระหว่างประเทศออกให้แก่บุคคลใด เพื่อใช้แสดงตนในการเดินทางระหว่างประเทศ และให้หมายความรวมถึงเอกสารใช้แทนหนังสือเดินทางและแบบหนังสือเดินทางที่ยังไม่ได้กรอกข้อความเกี่ยวกับผู้ถือหนังสือเดินทางด้วย (๑๖)[๘] “เจ้าพนักงาน” หมายความว่า บุคคลซึ่งกฎหมายบัญญัติว่าเป็นเจ้าพนักงานหรือได้รับแต่งตั้งตามกฎหมายให้ปฏิบัติหน้าที่ราชการ ไม่ว่าเป็นประจำหรือครั้งคราว และไม่ว่าจะได้รับค่าตอบแทนหรือไม่ (๑๗)[๙] “สื่อลามกอนาจารเด็ก” หมายความว่า วัตถุหรือสิ่งที่แสดงให้รู้หรือเห็นถึงการกระทำทางเพศของเด็กหรือกับเด็กซึ่งมีอายุไม่เกินสิบแปดปี โดยรูป เรื่อง หรือลักษณะสามารถสื่อไปในทางลามกอนาจาร ไม่ว่าจะอยู่ในรูปแบบของเอกสาร ภาพเขียน ภาพพิมพ์ ภาพระบายสี สิ่งพิมพ์ รูปภาพ ภาพโฆษณา เครื่องหมาย รูปถ่าย ภาพยนตร์ แถบบันทึกเสียง แถบบันทึกภาพ หรือรูปแบบอื่นใดในลักษณะทำนองเดียวกัน และให้หมายความรวมถึงวัตถุหรือสิ่งต่าง ๆ ข้างต้นที่จัดเก็บในระบบคอมพิวเตอร์หรือในอุปกรณ์อิเล็กทรอนิกส์อื่นที่สามารถแสดงผลให้เข้าใจความหมายได้ (๑๘)[๑๐] “กระทำชำเรา” หมายความว่า กระทำเพื่อสนองความใคร่ของผู้กระทำ โดยการใช้อวัยวะเพศของผู้กระทำล่วงล้ำอวัยวะเพศ ทวารหนัก หรือช่องปากของผู้อื่น
